Number,Theme,Subtheme,Set name,Pieces,RRP (USD)
31203-1,Art,Miscellaneous,World Map,11695.0,249.99
10307-1,Icons,Landmarks,Eiffel Tower,10001.0,629.99
10294-1,Icons,Miscellaneous,Titanic,9090.0,679.99
10276-1,Icons,Landmarks,Colosseum,9036.0,549.99
75192-1,Star Wars,Ultimate Collector Series,Millennium Falcon,7541.0,849.99
75313-1,Star Wars,Ultimate Collector Series,AT-AT,6785.0,849.99
75331-1,Star Wars,Ultimate Collector Series,The Razor Crest,6187.0,599.99
10316-1,Icons,Licensed,The Lord of the Rings: Rivendell,6167.0,499.99
71799-1,Ninjago,Dragons Rising Season 1,NINJAGO City Markets,6163.0,369.99
71043-1,Harry Potter,Miscellaneous,Hogwarts Castle,6020.0,469.99
10256-1,Creator Expert,Landmarks,Taj Mahal,5923.0,369.99
10189-1,Advanced models,Landmarks,Taj Mahal,5922.0,299.99
10299-1,Icons,Stadiums,Real Madrid - Santiago Bernabéu Stadium,5876.0,399.99
71741-1,Ninjago,General,NINJAGO City Gardens,5685.0,349.99
75978-1,Harry Potter,General,Diagon Alley,5544.0,449.99
10284-1,Icons,Stadiums,Camp Nou - FC Barcelona,5509.0,349.99
75367-1,Star Wars,Ultimate Collector Series,Venator-class Republic Attack Cruiser,5374.0,649.99
76269-1,Marvel Super Heroes,Miscellaneous,Avengers Tower,5201.0,499.99
10179-1,Star Wars,Ultimate Collector Series,Ultimate Collector's Millennium Falcon,5197.0,499.99
76405-1,Harry Potter,General,Hogwarts Express - Collectors' Edition,5129.0,499.99
70620-1,The LEGO Ninjago Movie,,NINJAGO City,4867.0,299.99
43222-1,Disney,Disney 100,Disney Castle,4837.0,399.99
76417-1,Harry Potter,General,Gringotts Wizarding Bank - Collectors' Edition,4803.0,429.99
75252-1,Star Wars,Ultimate Collector Series,Imperial Star Destroyer,4784.0,699.99
75827-1,Ghostbusters,Original Film,Firehouse Headquarters ,4634.0,349.99
10305-1,Icons,Castle System,Lion Knights' Castle,4514.0,399.99
40179-1,Miscellaneous,,Personalised Mosaic Portrait,4502.0,79.99
10214-1,Advanced models,Landmarks,Tower Bridge,4287.0,239.99
31201-1,Art,Licensed,Harry Potter Hogwarts Crests,4249.0,119.99
31205-1,Art,Licensed,Jim Lee Batman Collection,4167.0,119.99
10253-1,Creator Expert,Landmarks,Big Ben,4163.0,249.99
21226-1,Art,Miscellaneous,Art Project - Create Together,4138.0,119.99
10261-1,Creator Expert,Fairground Collection,Roller Coaster,4124.0,379.99
42100-1,Technic,Licensed,Liebherr R 9800,4108.0,449.99
71040-1,Disney,Disney Parks,Disney Castle,4080.0,349.99
910002-1,Bricklink,2021 Designer Program,Studgate Train Station,4062.0,399.99
42082-1,Technic,,Rough Terrain Crane,4057.0,299.99
76210-1,Marvel Super Heroes,Avengers: Age of Ultron,Hulkbuster,4049.0,549.99
75159-1,Star Wars,Ultimate Collector Series,Death Star,4016.0,499.99
10326-1,Icons,Modular Buildings Collection,Natural History Museum,4014.0,299.99
10255-1,Creator Expert,Modular Buildings Collection,Assembly Square,4002.0,299.99
910029-1,Bricklink,Designer Program Series 1,Mountain Fortress,3995.0,379.99
76252-1,DC Comics Super Heroes,Batman Returns,Batcave – Shadow Box,3981.0,399.99
21330-1,Ideas,Licensed,Home Alone,3955.0,299.99
42055-1,Technic,,Bucket Wheel Excavator,3929.0,279.99
10272-1,Creator Expert,Stadiums,Old Trafford - Manchester United,3898.0,299.99
910027-1,Bricklink,2021 Designer Program,Mountain View Observatory,3889.0,249.99
42131-1,Technic,Licensed,Cat D11 Bulldozer,3854.0,499.99
10188-1,Star Wars,Ultimate Collector Series,Death Star,3803.0,399.99
42143-1,Technic,Licensed,Ferrari Daytona SP3,3778.0,449.99
76178-1,Marvel Super Heroes,Spider-Man,Daily Bugle,3772.0,349.99
10303-1,Icons,Fairground Collection,Loop Coaster,3756.0,399.99
42115-1,Technic,Licensed,Lamborghini Sián FKP 37,3696.0,449.99
21323-1,Ideas,,Grand Piano,3662.0,399.99
42083-1,Technic,Licensed,Bugatti Chiron,3599.0,349.99
70657-1,The LEGO Ninjago Movie,,NINJAGO City Docks,3553.0,229.99
910032-1,Bricklink,Designer Program Series 1,Parisian Street,3532.0,319.99
910023-1,Bricklink,2021 Designer Program,Venetian Houses,3470.0,289.99
31204-1,Art,Music,Elvis Presley  'The King',3445.0,119.99
70922-1,The LEGO Batman Movie,,The Joker Manor,3444.0,269.99
10143-1,Star Wars,Ultimate Collector Series,Death Star II,3441.0,269.99
10181-1,Advanced models,Landmarks,Eiffel Tower ,3428.0,199.99
31200-1,Art,Licensed,Star Wars The Sith,3406.0,119.99
910008-1,Bricklink,2021 Designer Program,Modular Construction Site,3371.0,319.99
31197-1,Art,Miscellaneous,Andy Warhol's Marilyn Monroe,3341.0,119.99
76139-1,DC Comics Super Heroes,Batman 1989,1989 Batmobile,3306.0,249.99
10332-1,Icons,Castle System,Medieval Town Square,3304.0,229.99
75059-1,Star Wars,Ultimate Collector Series,Sandcrawler,3296.0,299.99
75309-1,Star Wars,Ultimate Collector Series,Republic Gunship,3292.0,399.99
10196-1,Advanced models,Fairground Collection,Grand Carousel,3263.0,249.99
7100-1,Samsonite,Educational,Samsonite Large Educational Set,3250.0,100.0
10273-1,Icons,Fairground Collection,Haunted House,3231.0,299.99
75290-1,Star Wars,Master Builder Series,Mos Eisley Cantina,3187.0,399.99
70840-1,The LEGO Movie 2,,Welcome to Apocalypseburg!,3178.0,299.99
31199-1,Art,Licensed,Marvel Studios Iron Man,3167.0,119.99
10221-1,Star Wars,Ultimate Collector Series,Super Star Destroyer,3152.0,399.99
76262-1,Marvel Super Heroes,Miscellaneous,Captain America's Shield,3128.0,199.99
75936-1,Jurassic World,Jurassic Park,Jurassic Park: T. rex Rampage,3120.0,249.99
10030-1,Star Wars,Ultimate Collector Series,Imperial Star Destroyer,3096.0,269.99
10297-1,Icons,Modular Buildings Collection,Boutique Hotel,3066.0,229.99
21318-1,Ideas,,Tree House,3036.0,249.99
76391-1,Harry Potter,Miscellaneous,Hogwarts Icons - Collectors' Edition,3010.0,299.99
76042-1,Marvel Super Heroes,Miscellaneous,The SHIELD Helicarrier,2996.0,349.99
10234-1,Creator Expert,Landmarks,Sydney Opera House,2989.0,319.99
76215-1,Marvel Super Heroes,Black Panther,Black Panther,2961.0,349.99
31198-1,Art,Music,The Beatles,2933.0,119.99
71044-1,Disney,Disney Parks,Disney Train and Station,2925.0,329.99
10278-1,Icons,Modular Buildings Collection,Police Station,2923.0,199.99
10312-1,Icons,Modular Buildings Collection,Jazz Club,2899.0,229.99
42146-1,Technic,Licensed,Liebherr Crawler Crane LR 13000,2883.0,699.99
3450-1,Advanced models,Landmarks,Statue of Liberty,2882.0,199.0
31207-1,Art,Miscellaneous,Floral Art,2870.0,79.99
21137-1,Minecraft,Minifig-scale,The Mountain Cave,2863.0,249.99
75222-1,Star Wars,Master Builder Series,Betrayal at Cloud City,2812.0,349.99
71411-1,Super Mario,Miscellaneous,The Mighty Bowser,2807.0,269.99
42043-1,Technic,Licensed,Mercedes-Benz Arocs 3245,2793.0,229.99
910013-1,Bricklink,2021 Designer Program,Retro Bowling Alley,2779.0,229.99
10224-1,Advanced models,Modular Buildings Collection,Town Hall,2766.0,199.99
5526-1,Factory,,Skyline,2747.0,130.0
70810-1,The LEGO Movie,,MetalBeard's Sea Cow,2741.0,249.99
76218-1,Marvel Super Heroes,Doctor Strange in the Multiverse of Madness,Sanctum Sanctorum,2708.0,249.99
910004-1,Bricklink,2021 Designer Program,Winter Chalet,2705.0,199.99
42056-1,Technic,Licensed,Porsche 911 GT3 RS,2704.0,299.99
10257-1,Creator Expert,Fairground Collection,Carousel,2670.0,199.99
76419-1,Harry Potter,Miscellaneous,Hogwarts Castle and Grounds,2660.0,169.99
31202-1,Art,Licensed,Disney's Mickey Mouse,2658.0,119.99
10323-1,Icons,Licensed,PAC-MAN Arcade,2651.0,269.99
71374-1,Super Mario,Miscellaneous,Nintendo Entertainment System,2646.0,269.99
42009-1,Technic,,Mobile Crane MK II,2606.0,219.99
42078-1,Technic,Licensed,Mack Anthem,2595.0,179.99
21332-1,Ideas,,The Globe,2585.0,229.99
42110-1,Technic,Licensed,Land Rover Defender,2573.0,199.99
10264-1,Creator Expert,Modular Buildings Collection,Corner Garage,2569.0,199.99
21322-1,Ideas,,Pirates of Barracuda Bay,2545.0,199.99
21344-1,Ideas,Licensed,The Orient Express Train,2540.0,299.99
10306-1,Icons,Licensed,Atari 2600,2532.0,239.99
76052-1,DC Comics Super Heroes,Batman Classic TV Series,Batman Classic TV Series - Batcave,2526.0,269.99
71006-1,The Simpsons,,The Simpsons House,2523.0,199.99
10320-1,Icons,Pirates System,Eldorado Fortress,2509.0,214.99
10270-1,Creator Expert,Modular Buildings Collection,Bookshop,2504.0,199.99
10212-1,Star Wars,Ultimate Collector Series,Imperial Shuttle,2503.0,259.99
42098-1,Technic,,Car Transporter,2493.0,179.99
10260-1,Creator Expert,Modular Buildings Collection,Downtown Diner,2480.0,169.99
10243-1,Creator Expert,Modular Buildings Collection,Parisian Restaurant,2469.0,159.99
10247-1,Creator Expert,Fairground Collection,Ferris Wheel,2464.0,199.99
80039-1,Monkie Kid,Season 3,The Heavenly Realms,2433.0,189.99
3443-1,Basic,Mosaic,LEGO Mosaic,2427.0,30.0
42069-1,Technic,,Extreme Adventure,2382.0,179.99
10251-1,Creator Expert,Modular Buildings Collection,Brick Bank,2380.0,169.99
80049-1,Monkie Kid,Season 4,Dragon of the East Palace,2364.0,189.99
76161-1,DC Comics Super Heroes,Batman 1989,1989 Batwing,2363.0,199.99
10237-1,The Lord of the Rings,The Two Towers,Tower of Orthanc,2359.0,199.99
10283-1,Icons,Space,NASA Space Shuttle Discovery,2354.0,199.99
10274-1,Icons,Licensed,Ghostbusters ECTO-1,2352.0,239.99
10185-1,Advanced models,Modular Buildings Collection,Green Grocer,2352.0,149.99
21337-1,Ideas,,Table Football,2339.0,249.99
10317-1,Icons,Vehicles,Land Rover Classic Defender 90,2336.0,239.99
910033-1,Bricklink,Designer Program Series 1,Old Train Engine Shed,2331.0,229.99
80054-1,Monkie Kid,Season 5,Megapolis City,2330.0,189.99
21311-1,Ideas,Licensed,Voltron,2321.0,179.99
75371-1,Star Wars,Episode VI,Chewbacca,2319.0,199.99
21341-1,Ideas,Licensed,Disney Hocus Pocus: The Sanderson Sisters' Cottage,2316.0,229.99
21333-1,Ideas,Licensed,Vincent van Gogh - The Starry Night,2316.0,169.99
75308-1,Star Wars,Miscellaneous,R2-D2,2314.0,239.99
70618-1,The LEGO Ninjago Movie,,Destiny's Bounty,2295.0,159.99
71042-1,Pirates of the Caribbean,Dead Men Tell No Tales,Silent Mary,2294.0,199.99
75810-1,Stranger Things,,The Upside Down,2287.0,199.99
21010-1,Architecture,Architect Series,Robie House,2276.0,199.99
42639-1,Friends,Houses,Andrea's Modern Mansion,2275.0,199.99
10246-1,Creator Expert,Modular Buildings Collection,Detective's Office,2262.0,159.99
10197-1,Advanced models,Modular Buildings Collection,Fire Brigade,2231.0,149.99
43242-1,Disney,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs' Cottage,2208.0,219.99
10279-1,Icons,Vehicles,Volkswagen T2 Camper Van,2207.0,179.99
10232-1,Creator Expert,Modular Buildings Collection,Palace Cinema,2196.0,149.99
42114-1,Technic,Licensed,6x6 Volvo Articulated Hauler,2193.0,249.99
80036-1,Monkie Kid,Season 3,The City of Lanterns,2187.0,159.99
10211-1,Advanced models,Modular Buildings Collection,Grand Emporium,2182.0,149.99
71016-1,The Simpsons,,Kwik-E-Mart,2179.0,199.99
21325-1,Ideas,,Medieval Blacksmith,2164.0,179.99
910009-1,Bricklink,2021 Designer Program,Modular LEGO Store,2149.0,179.99
75098-1,Star Wars,Ultimate Collector Series,Assault on Hoth,2144.0,249.99
10225-1,Star Wars,Ultimate Collector Series,R2-D2,2127.0,179.99
21060-1,Architecture,Landmark Series,Himeji Castle,2125.0,159.99
42129-1,Technic,Licensed,4x4 Mercedes-Benz Zetros Trial Truck,2110.0,329.99
21343-1,Ideas,,Viking Village,2103.0,129.99
31209-1,Art,Licensed,The Amazing Spider-Man,2099.0,199.99
910003-1,Bricklink,2021 Designer Program,Mountain Windmill,2085.0,179.99
10318-1,Icons,Miscellaneous,Concorde,2083.0,199.99
21338-1,Ideas,,A-Frame Cabin,2082.0,179.99
21327-1,Ideas,,Typewriter,2079.0,249.99
21335-1,Ideas,,Motorized Lighthouse,2065.0,299.99
71395-1,Super Mario,Miscellaneous,Super Mario 64 Question Mark Block,2064.0,199.99
10228-1,Monster Fighters,,Haunted House,2064.0,179.99
10182-1,Advanced models,Modular Buildings Collection,Cafe Corner,2056.0,139.99
76240-1,DC Comics Super Heroes,The Dark Knight Trilogy,Batmobile Tumbler,2049.0,269.99
21310-1,Ideas,,Old Fishing Store,2049.0,149.99
10292-1,Icons,Licensed,The Friends Apartments,2048.0,179.99
8110-1,Technic,Licensed,Mercedes-Benz Unimog U 400,2048.0,199.99
10218-1,Advanced models,Modular Buildings Collection,Pet Shop,2032.0,149.99
70751-1,Ninjago,General,Temple of Airjitzu,2028.0,199.99
10217-1,Harry Potter,General,Diagon Alley,2025.0,149.99
21056-1,Architecture,Landmark Series,Taj Mahal,2022.0,119.99
42128-1,Technic,,Heavy-Duty Tow Truck,2017.0,159.99
BL19001-1,Bricklink,AFOL Designer Program,Löwenstein Castle,2015.0,199.99
60380-1,City,Town,Downtown,2010.0,199.99
41732-1,Friends,Heartlake City,Downtown Flower and Design Stores,2010.0,159.99
42145-1,Technic,Licensed,Airbus H175 Rescue Helicopter,2001.0,209.99
5491-1,Make and Create,,XXL 2000,2000.0,40.0
